orig_names_21,plot_name_21,orig_names,plot_name
Europe: United Kingdom,United Kingdom,Europe: United Kingdom,United Kingdom
Europe: Ireland,Ireland,Europe: Ireland,Ireland
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: EU Member countries,EU,Europe: Other Europe: EU Member countries,EU
Europe: Other Europe: Rest of Europe,Rest of Europe,Europe: Other Europe: Rest of Europe,Rest of Europe
Europe: Other Europe: Rest of Europe,Rest of Europe,Europe: Other Europe: Rest of Europe,Rest of Europe
Africa: North Africa,North Africa,Africa: North Africa,North Africa
Africa: Central and Western Africa,Central and Western Africa,Africa: Central and Western Africa,Central and Western Africa
Africa: Central and Western Africa,Central and Western Africa,Africa: Central and Western Africa,Central and Western Africa
Africa: Central and Western Africa,Central and Western Africa,Africa: Central and Western Africa,Central and Western Africa
Africa: South and Eastern Africa,South and Eastern Africa,Africa: South and Eastern Africa,South and Eastern Africa
Africa: South and Eastern Africa,South and Eastern Africa,Africa: South and Eastern Africa,South and Eastern Africa
Africa: South and Eastern Africa,South and Eastern Africa,Africa: South and Eastern Africa,South and Eastern Africa
Africa: South and Eastern Africa,South and Eastern Africa,Africa: South and Eastern Africa,South and Eastern Africa
Africa: South and Eastern Africa,South and Eastern Africa,Africa: South and Eastern Africa,South and Eastern Africa
Middle East and Asia: Middle East,Middle East,Middle East and Asia: Middle East,Middle East
Middle East and Asia: Middle East,Middle East,Middle East and Asia: Middle East,Middle East
Middle East and Asia: Middle East,Middle East,Middle East and Asia: Middle East,Middle East
Middle East and Asia: Eastern Asia,Eastern Asia,Middle East and Asia: Eastern Asia,Eastern Asia
Middle East and Asia: Eastern Asia,Eastern Asia,Middle East and Asia: Eastern Asia,Eastern Asia
Middle East and Asia: Eastern Asia,Eastern Asia,Middle East and Asia: Eastern Asia,Eastern Asia
Middle East and Asia: Eastern Asia,Eastern Asia,Middle East and Asia: Eastern Asia,Eastern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: South-East Asia,South-East Asia,Middle East and Asia: South-East Asia,South-East Asia
Middle East and Asia: South-East Asia,South-East Asia,Middle East and Asia: South-East Asia,South-East Asia
Middle East and Asia: South-East Asia,South-East Asia,Middle East and Asia: South-East Asia,South-East Asia
Middle East and Asia: South-East Asia,South-East Asia,Middle East and Asia: South-East Asia,South-East Asia
Middle East and Asia: Central Asia,Central Asia,Middle East and Asia: Central Asia,Central Asia
The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean
The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean
The Americas and the Caribbean: Central and South America,Central and South America,The Americas and the Caribbean: Central and South America,Central and South America
The Americas and the Caribbean: Central and South America,Central and South America,The Americas and the Caribbean: Central and South America,Central and South America
The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean
The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean
Antarctica and Oceania (including Australasia),Antarctica and Oceania,Antarctica and Oceania (including Australasia),Antarctica and Oceania
Antarctica and Oceania (including Australasia),Antarctica and Oceania,Antarctica and Oceania (including Australasia),Antarctica and Oceania
Antarctica and Oceania (including Australasia),Antarctica and Oceania,Antarctica and Oceania (including Australasia),Antarctica and Oceania
British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories
No passport held,No passport held,No passport held,No passport held
